11,61
11,88
12,14
12,68
12,95
13,21
13,35
13,75
14,02
14,29
14,55
14,82
15,22
15,49
15,63
15,89
16,16
16,70
16,96
17,23
17,63
17,90
18,44
18,97
19,38
20,04
20,58
20,85
21,12
21,12
21,12
21,38
21,38
21,38
21,79
21,65
21,65
21,65
21,92
21,92
21,92
22,05
22,19
22,19
22,19
22,19
22,19
22,19
22,05
21,92
21,92
21,92
21,65
21,65
21,65
21,45
21,25
20,98
20,85
20,58
20,45
20,18
19,84
19,51
19,38
19,24
18,97
18,84
18,57
18,37
18,17
17,90
17,77
17,50
17,37
17,10
16,96
16,83
16,70
16,56
16,29
16,16
16,03
15,89
15,76
15,76
15,49
15,49
15,22
15,22
15,16
15,09
15,09
14,96
14,69
14,55
14,55
14,49
14,42
14,42
14,42
14,15
14,15
14,15
14,02
13,88
13,88
13,88
13,88
13,88
13,88
13,75
13,62
13,62
13,62
13,62
13,62
13,62
13,48
13,35
13,35
13,35
13,08
13,08
13,08
12,95
12,81
12,81
12,81
12,81
12,81
12,81
12,68
12,54
12,54
12,54
12,28
12,28
12,28
12,28
12,28
12,28
12,28
12,28
12,28
12,28
12,28
12,28
12,28
12,28
12,28
12,28
12,28
12,28
12,28
12,41
12,54
12,81
12,95
13,08
13,21
13,35
13,62
13,75
14,02
14,15
14,42
14,29
14,82
15,09
15,36
15,63
15,89
16,16
16,36
16,56
16,56
16,56
16,83
16,83
16,83
16,70
17,10
17,37
17,50
17,77
17,90
18,17
18,17
18,44
18,44
18,44
18,71
18,71
18,71
18,84
18,97
18,97
19,24
19,24
19,51
19,51
19,58
19,64
19,64
19,78
19,78
19,64
19,64
19,84
20,04
20,18
20,18
20,04
20,04
20,18
20,25
20,31
20,31
20,31
20,31
20,31
20,31
20,25
20,18
19,91
19,78
19,51
19,38
19,24
19,11
18,97
18,97
18,97
18,97
18,97
18,97
18,84
18,71
18,71
18,71
18,44
18,44
18,44
18,30
18,17
18,17
18,17
17,90
17,90
17,90
17,77
17,63
17,63
17,37
17,37
17,10
17,10
16,96
16,83
16,83
16,83
16,56
16,56
16,56
16,43
16,29
16,29
16,29
16,29
16,29
16,29
16,16
16,03
16,03
16,03
15,76
15,76
15,76
15,76
15,76
15,76
15,76
15,76
15,76
15,76
15,63
15,49
15,49
15,49
15,49
15,49
15,49
15,49
15,49
15,49
15,49
15,49
15,49
15,49
15,36
15,22
15,22
15,22
15,22
15,22
15,22
15,16
15,09
14,96
14,96
15,09
15,09
14,96
15,02
15,09
15,09
14,96
14,96
15,09
15,09
15,02
14,96
15,09
15,09
14,96
14,96
15,09
15,02
14,96
14,96
15,09
15,22
15,22
15,22
15,36
15,49
15,49
15,49
15,76
15,76
15,76
15,89
16,03
16,03
16,03
16,29
16,29
16,29
16,56
16,56
16,70
16,83
17,10
17,23
17,37
17,50
17,63
17,63
17,63
17,90
17,90
17,90
18,04
18,17
18,17
18,17
18,17
18,17
18,17
18,04
17,90
17,90
17,90
17,90
17,90
17,90
17,77
17,63
17,63
17,63
17,37
17,37
17,37
17,37
17,37
17,37
17,37
17,37
17,37
17,37
17,23
17,10
17,10
17,10
17,10
17,10
17,10
16,96
16,83
16,83
16,83
16,83
16,83
16,83
16,70
16,56
16,56
16,29
16,29
16,03
16,03
